"f__Actinomycetaceae" "f__Corynebacteriaceae" "f__Dietziaceae" "f__Geodermatophilaceae" "f__Microbacteriaceae" "f__Micrococcaceae" "f__Micromonosporaceae" "f__Nocardiaceae" "f__Nocardioidaceae" "f__unclassified_Actinomycetales" "f__Bifidobacteriaceae" "f__Coriobacteriaceae" "f__Gaiellaceae" "f__Bacteroidaceae" "f__Porphyromonadaceae" "f__Prevotellaceae" "f__Rikenellaceae" "f__unclassified_Bacteroidales" "f__Cytophagaceae" "f__Flavobacteriaceae" "f__Chitinophagaceae" "f__Sphingobacteriaceae" "f__unclassified_Bacteroidetes" "f__unclassified_Candidatus_Saccharibacteria" "f__unclassified_Chlamydiales" "f__Chloroplast" "f__unclassified_Cyanobacteria/Chloroplast" "f__Methanobacteriaceae" "f__Bacillales_Incertae_Sedis_XI" "f__Staphylococcaceae" "f__unclassified_Bacillales" "f__Carnobacteriaceae" "f__Enterococcaceae" "f__Lactobacillaceae" "f__Streptococcaceae" "f__unclassified_Lactobacillales" "f__unclassified_Bacilli" "f__Clostridiaceae_1" "f__Clostridiales_Incertae_Sedis_XI" "f__Clostridiales_Incertae_Sedis_XII" "f__Clostridiales_Incertae_Sedis_XIII" "f__Lachnospiraceae" "f__Peptostreptococcaceae" "f__Ruminococcaceae" "f__unclassified_Clostridiales" "f__Erysipelotrichaceae" "f__Veillonellaceae" "f__unclassified_Firmicutes" "f__Fusobacteriaceae" "f__Leptotrichiaceae" "f__Caulobacteraceae" "f__Bradyrhizobiaceae" "f__Brucellaceae" "f__Methylobacteriaceae" "f__Phyllobacteriaceae" "f__Rhizobiaceae" "f__Xanthobacteraceae" "f__Rhodobacteraceae" "f__Acetobacteraceae" "f__Sphingomonadaceae" "f__Burkholderiaceae" "f__Comamonadaceae" "f__Sutterellaceae" "f__unclassified_Burkholderiales" "f__Methylophilaceae" "f__Neisseriaceae" "f__Rhodocyclaceae" "f__Bacteriovoracaceae" "f__Campylobacteraceae" "f__Chromatiaceae" "f__Enterobacteriaceae" "f__Coxiellaceae" "f__Halomonadaceae" "f__Pasteurellaceae" "f__Moraxellaceae" "f__Pseudomonadaceae" "f__Sinobacteraceae" "f__Xanthomonadaceae" "f__unclassified_Gammaproteobacteria" "f__unclassified_Proteobacteria" "f__Anaeroplasmataceae" "f__Nitrososphaeraceae" "f__Verrucomicrobiaceae" "f__unclassified_Bacteria"
"CMA.D3" 0 0 0 0 0 1.44235623314e-05 0 0 0 0 0.000115388498651 0.000533671806263 0 0.00118273211118 0.000230776997303 0 0.00010096493632 0.000259624121966 0 0 0 0 0 0 0 2.88471246628e-05 0 0 0 0 0 0 0.0434149226176 0.000173082747977 7.21178116571e-05 0.000836566615223 0.000173082747977 0.0823729644748 0 0 0 0.493761809292 0.172895241667 0.00386551470482 0.000447130432274 0.198814383176 7.21178116571e-05 0.000346165495954 0 0 0 0 0 4.32706869943e-05 0 0 0 0 0 0 0 0 2.88471246628e-05 0 0 0 0 0 0 0 0.000144235623314 0 0 0 0 0 0 0 0 0 2.88471246628e-05 0 0 4.32706869943e-05
"CMA.D8" 0 0 0 1.00594513575e-05 0 2.0118902715e-05 0 0 0 0 0.000150891770363 0.000513032019234 0 0.000462734762446 0.000221307929866 2.0118902715e-05 1.00594513575e-05 0.000100594513575 0 0 0 0 0 0 0 0.00012071341629 0 1.00594513575e-05 0 0 0 0 0.0271705781167 6.03567081451e-05 1.00594513575e-05 0.000734339949099 0.00020118902715 0.0584353529359 0 0 0 0.433501996801 0.411210252593 0.00176040398757 0.00350068907242 0.0613727127322 4.02378054301e-05 0.000110653964933 1.00594513575e-05 0 0 0 0 0 0 0 0 0 0 0 2.0118902715e-05 0 2.0118902715e-05 0 0 0 0 0 0 0 8.04756108602e-05 0 0 1.00594513575e-05 0 0 0 0 0 0 2.0118902715e-05 0 4.02378054301e-05 5.02972567876e-05
"CMA.D14" 0 0 0 1.4340001434e-05 0 1.4340001434e-05 0 0 1.4340001434e-05 0 0.000157740015774 0.000114720011472 0 0.000530580053058 0.000258120025812 2.8680002868e-05 2.8680002868e-05 7.170000717e-05 0 0 0 0 0 0 0 0.000444540044454 0 0 0 0 0 0 0.0325661432566 7.170000717e-05 4.3020004302e-05 0.00043020004302 0.000315480031548 0.00355632035563 0 0 0 0.514619631462 0.412045601205 0.00149136014914 0.00481824048182 0.0279630027963 1.4340001434e-05 8.6040008604e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4340001434e-05 0 0 0 0 0 0 0 0.00014340001434 0 0 0 0 0 0 0 0 0 1.4340001434e-05 0 8.6040008604e-05 4.3020004302e-05
"CMA.D28" 0 0 0 0 0 0 0 0 0 0 0.000121013284569 0.000497499058786 0 0.000201688807616 0.000215134728123 4.03377615232e-05 0 9.4121443554e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0488759210456 6.72296025386e-05 2.68918410154e-05 0.000457161297262 0.000215134728123 0.000752971548432 0 0 0 0.45392083042 0.454364545797 0.00178830742753 0.00340181788845 0.0344887861023 8.06755230463e-05 0.000201688807616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.68918410154e-05 0 0 0 0 0 0 0 4.03377615232e-05 0 0 0 0 0 0 0 0 0 4.03377615232e-05 0 6.72296025386e-05 1.34459205077e-05
"CMA.Donor" 0.000458752732277 0.000323825458078 0.000728607280676 0 5.39709096797e-05 0.00167309820007 0 0.041449658634 2.69854548398e-05 0.00137625819683 0.0334349785466 0.00418274550018 0 0.00234773457107 0.000296840003238 0.000134927274199 2.69854548398e-05 2.69854548398e-05 0.00259060366462 0.00582885824541 0.000242869093559 0.000323825458078 0.000404781822598 0.000836549100035 0.000188898183879 0.00483039641633 8.09563645195e-05 0 5.39709096797e-05 5.39709096797e-05 0 0 0.000674636370996 0.00232074911623 0.172383085517 0.000269854548398 0 0.111746768492 0.000134927274199 0 0 0.00682732007448 0.33861348733 0.00348112367434 0.0063685673422 0.00280648730334 0.086434411852 0 0.000404781822598 0.000188898183879 0.000809563645195 0 0 0.000107941819359 2.69854548398e-05 0.000674636370996 0 0.00132228728715 0 0.00329222549046 0.000458752732277 0.00367002185822 2.69854548398e-05 5.39709096797e-05 5.39709096797e-05 0 0.000215883638719 0.00151118547103 0 0.00464149823245 0.0529994333054 0 0 0.0452546077664 0.0366192622177 0.00493833823569 0.000539709096797 0.000107941819359 0.000107941819359 0.000701621825836 0 0 8.09563645195e-05 0.00715114553256
"CMA.Filter" 0.0007310238395 8.12248710555e-05 0 0 0 0.00203062177639 0 0 0 0.00154327255005 0.039475287333 0.00527961661861 0 0.00304593266458 0.000284287048694 0.000690411403972 8.12248710555e-05 0.000284287048694 0 0 0 0 0 8.12248710555e-05 0 8.12248710555e-05 0 0 0.000406124355278 0.000162449742111 0 0 0.00105592332372 0.00402063111725 0.214108760102 0.000812248710555 0.000121837306583 0.174836534947 0 0 0.000203062177639 0.00718840108841 0.334849530926 0.00174633472769 0.004386143037 0.00357389432644 0.0821995695082 4.06124355278e-05 0.000406124355278 0 0 0 0 0 8.12248710555e-05 0 0 0 0 0 0 8.12248710555e-05 0 0 0 4.06124355278e-05 0 0 0 0 0.0522275920887 0 0.000121837306583 0.0633960118588 0 0 0 0 0 0 8.12248710555e-05 0 0 0.000162449742111
"CMA.Filtrate" 0.00113221329438 0 0 7.3046018992e-05 0 0.00127830533236 0 0 3.6523009496e-05 0.00244704163623 0.0464207450694 0.00781592403214 0 0.00314097881665 0.000255661066472 7.3046018992e-05 3.6523009496e-05 7.3046018992e-05 0 0 0 0 0 3.6523009496e-05 0 0.000292184075968 0 0 0.00018261504748 7.3046018992e-05 0 3.6523009496e-05 0.000949598246896 0.00321402483565 0.198246895544 0.000328707085464 0 0.0938276113952 0 0 0 0.0100073046019 0.420891161432 0.00555149744339 0.0063915266618 0.00390796201607 0.101241782323 7.3046018992e-05 0.000292184075968 3.6523009496e-05 0 0 0 3.6523009496e-05 3.6523009496e-05 0 0 0 0 7.3046018992e-05 3.6523009496e-05 0 3.6523009496e-05 0 0 0 0 0 0 0 0.0563550036523 7.3046018992e-05 3.6523009496e-05 0.0348794740687 7.3046018992e-05 0 0 0 0 0 0 0 0 0
"CMA.Gavage.Sol" 0.000847167932464 0 0 0 0 0.00221452670065 0 0 0.000133763357758 0.00263067936923 0.0538174576044 0.00818929001382 2.97251906128e-05 0.00216993891473 0.000520190835724 0.000193213738983 1.48625953064e-05 5.94503812256e-05 0 0 0 0 0 0 0 5.94503812256e-05 0 0 0.000178351143677 0.000118900762451 2.97251906128e-05 4.45877859192e-05 0.00187268700861 0.00475603049805 0.262577471278 0.000505328240417 0 0.089933564199 7.4312976532e-05 0 8.91755718384e-05 0.0101808777849 0.321834638765 0.0053505343103 0.00538025950091 0.00564778621643 0.0840331138623 8.91755718384e-05 0.000104038167145 4.45877859192e-05 0 0 0 4.45877859192e-05 1.48625953064e-05 0 0 0 0 0 1.48625953064e-05 4.45877859192e-05 1.48625953064e-05 0 0 2.97251906128e-05 0 0 0 0 0.0868421443753 0 4.45877859192e-05 0.0488236255815 0 2.97251906128e-05 0 0 2.97251906128e-05 0 5.94503812256e-05 0 5.94503812256e-05 0.000222938929596
"Healthy.D8" 0 0 0 0 0 2.49687890137e-05 0 0 0 0 0.00405742821473 8.73907615481e-05 0 0.839400749064 0.0384394506866 1.24843945069e-05 3.74531835206e-05 0.000823970037453 0 0 0 0 1.24843945069e-05 0 0 0.000337078651685 0 0 0 0 0 0 0.00354556803995 1.24843945069e-05 7.49063670412e-05 0.00019975031211 0 0.000224719101124 0 2.49687890137e-05 0 0.0229837702871 0.000274656679151 0.00164794007491 0.00142322097378 0.000212234706617 0.0240324594257 2.49687890137e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0619350811486 0 0 0 0 0 0 0 0 0 2.49687890137e-05 0 7.49063670412e-05 4.99375780275e-05
"Healthy.D25" 3.59971202304e-05 0 0 0 0 0 0 0 0 0 0.0100431965443 0.000251979841613 0 0.744132469402 0.0467962562995 3.59971202304e-05 3.59971202304e-05 0.000503959683225 0 0 0 0 0 0 0 3.59971202304e-05 0 0 0 0 0 0 0.00745140388769 0 3.59971202304e-05 0.000287976961843 0 0.000143988480922 0 0 0 0.0526997840173 0.00176385889129 0.0056875449964 0.00673146148308 0.000179985601152 0.0690784737221 0 7.19942404608e-05 0 0 0 7.19942404608e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0536717062635 0 0 0.000107991360691 0 0 0 0 0 0 3.59971202304e-05 7.19942404608e-05 3.59971202304e-05 0
